RP,Nom du parlementaire,Bénéficiaire,Pays,Somme,Programme,Programme détaillé,Année
S,KERDRAON            (N),Armor Goëlo SOLIDARITE TAGHRATE ,,1500,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,KERT,Droujba Tchernobyl France,Ukraine,6000,209-02,Développement - Coopération bilatérale,2011
S,KHIARI,France terre d'asile ,,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,LACHAUD,Electriciens Sans Frontières,,2000,209-02,Développement - Coopération bilatérale,2011
AN,LAGARDE               (N),Association aide médicale au Congo,Congo,2000,209-02,Développement - Coopération bilatérale,2011
AN,LAMBLIN                (N),Comité catholique contre la faim et pour le développement  CCFD,,2500,209-02,Développement - Coopération bilatérale,2011
AN,LAMBLIN                (N),Les Enfants des 1001 collines,,2500,209-02,Développement - Coopération bilatérale,2011
AN,LAMOUR                (N),Vivre à Bossomnoré                 ,Burkina Faso,1000,209-02,Développement - Coopération bilatérale,2011
AN,LAMY,"Association ""Colibris d'ici et d'ailleurs""",,2300,209-05,Développement - Coopération multilatérale,2011
S,LARCHER,Association des sœurs des saints cœurs                 ,Liban,10000,185-02,Coopération culturelle et promotion du français,2011
AN,LASBORDES,CAP FQ           COMITE D'ACTION POLITIQUE FRANCO-QUEBECOIS,Canada,7000,185-02,Coopération culturelle et promotion du français,2011
AN,LASBORDES,Eduquamada   ,Madagascar,3000,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Association 4 L'ille-Phalempin,,1500,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Les Ptits Lous du Rwanda,,1500,209-02,Développement - Coopération bilatérale,2011
AN,LAZARO,Les L du désert,,3000,209-02,Développement - Coopération bilatérale,2011
AN,LEFRAND,Epanouissement                                      ,,1500,209-02,Développement - Coopération bilatérale,2011
S,LEPAGE,Ecole Françoise Dolto de Majunga  ,Madagascar,35000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,Ecole française de Sarrebrück et Dilling        ,Allemagne,25000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,Fondation de l'école française Erevan Nar-Doss     ,Arménie,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,LEPAGE,"Foyer résidence pour personnes agées 
Saint Louis des Français - Madrid  ",Espagne,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
AN,LEQUILLER,Maison de l'Europe des Yvelines       ,,5000,105-02,Action européenne,2011
AN,LEVY,CEW France                 COSMETIC EXECUTIVE WOMEN      ASSOC 1901,,2000,209-02,Développement - Coopération bilatérale,2011
AN,MALHERBE            (N),Les Amis d'Antsirabé,Madagascar,2000,209-02,Développement - Coopération bilatérale,2011
AN,MALHERBE            (N),Vision du Monde               ,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MALLIÉ,Garlaban Togo,Togo,1500,209-02,Développement - Coopération bilatérale,2011
AN,MARC,Human Ifrass         PARTICIPER AU 4L TROPHY 2011,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MARIANI                 (N),Association ACTED    AGENCY FOR TECHNICAL COOPERATION AND DEVELOPMENT                                 ASSOC.    1901,,5000,209-02,Développement - Coopération bilatérale,2011
S,MARINI,"Association AOURAS  «SOCIETE D’ETUDES ET DE RECHERCHES SUR L’AURES ANTIQUE, AOURAS»               ASSOC. 1901",,5000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Association Terres d'Orient,,20000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Monastère Saint-Hilarion,,15000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Monastère Saint-Jacques l'Intercis - MONASTERE ST JACQUES LE MUTILE,,10000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Centre de recherche sur la Libye antique,,35000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Association Oise Elblag MALBORK             présidence Marini,,4000,185-02,Coopération culturelle et promotion du français,2011
S,MARINI,Ecole biblique de Jérusalem,,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,MARINI,ONG Al Makan Art Association           ONG DE DROIT SYRIEN,,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,MARLAND-MILITELLO (N),Rotary Club Nice Maeterlinck,,5000,209-02,Développement - Coopération bilatérale,2011
AN,MAUROY,Fondation Jean Jaurès,,185000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
AN,MEHAIGNERIE          (N),Association Loire-Eaudyssée,Madagascar,10000,209-02,Développement - Coopération bilatérale,2011
AN,MONTCHAMP,Fonds Arménien de France,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MORANGE                (N),Chavalos de Managua,,5000,209-02,Développement - Coopération bilatérale,2011
AN,MORANGE                (N),AIDASA,,7000,209-02,Développement - Coopération bilatérale,2011
AN,MOREL-A-L'HUISSIER,"Kiwanis Club Mende ""Les Sources""",,2000,209-02,Développement - Coopération bilatérale,2011
AN,MOREL-A-L'HUISSIER,ALTINE,,1000,209-02,Développement - Coopération bilatérale,2011
AN,MOYNE-BRESSAND  (N),"Les 2 ""Elles"" SandSable",,1000,209-02,Développement - Coopération bilatérale,2011
AN,MUET,Lycée Martin Luther King - Foyer socio-éducatif                          ,,3000,209-05,Développement - Coopération multilatérale,2011
AN,MUSELIER,Amicale des Oraniens ,,1500,209-02,Développement - Coopération bilatérale,2011
AN,MUSELIER,Enfants du Monde                           ASSOC. LOI 1901,,1500,209-02,Développement - Coopération bilatérale,2011
AN,OGET                      (N),Association Ede Timoun YO,,2000,209-05,Développement - Coopération multilatérale,2011
AN,PANCHER               (N),Association Réagir : Agir ensemble de Pagny-sur Meuse ,,2000,209-02,Développement - Coopération bilatérale,2011
AN,PERRUCHOT           (N),Association d'Aide aux Victimes d'Alhoceima     ,Maroc,2000,209-02,Développement - Coopération bilatérale,2011
AN,PERRUCHOT           (N),Association Franco-Marocaine                                    ,,10000,209-02,Développement - Coopération bilatérale,2011
S,PIRAS                     (N),Comité de jumelage Arménie      ASSOC LOI 1901,Arménie,10000,185-02,Coopération culturelle et promotion du français,2011
AN,PLAGNOL,Moldavenir                                              ,,3000,209-02,Développement - Coopération bilatérale,2011
AN,PONIATOWSKI        (N),Ebisol                                               ASSOC. LOI 1901,,1000,209-02,Développement - Coopération bilatérale,2011
AN,PONIATOWSKI        (N),Action pour Enfants Oubliés d'Eragny-sur Oise,,1000,209-02,Développement - Coopération bilatérale,2011
AN,POURSINOFF           (N),Association ACTION MOPTI,,4000,209-02,Développement - Coopération bilatérale,2011
AN,POURSINOFF           (N),Association SANGWA,,2000,209-02,Développement - Coopération bilatérale,2011
AN,RAIMBOURG           (N),Association Les Amis de Diawar,,2000,209-05,Développement - Coopération multilatérale,2011
AN,REMILLER,APRESS,,5000,209-02,Développement - Coopération bilatérale,2011
AN,REMILLER,OGEC St Jacques,FRANCE,3000,209-02,Développement - Coopération bilatérale,2011
AN,RENUCCI                 (N),Association Per a Pace,,7000,209-05,Développement - Coopération multilatérale,2011
AN,RICHARD                (N),Rotary Club Verneuil,,3000,209-02,Développement - Coopération bilatérale,2011
S,RICHERT,Association Humanis,,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,ROCHEBLOINE,Association Action Fitiavana,,1500,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Association Jeunesse Solide NIKIEMA,,2000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Association Afghanistan-Demain,Afghanistan,3000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Association Les enfants Avant Tout,,26000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Association Da Connexion ,,8000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Rhône-Arménie Formation echanges,Arménie,10000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Radio Arménie,Arménie,5000,209-02,Développement - Coopération bilatérale,2011
AN,ROCHEBLOINE,Solidarité Protestante France-Arménie - SPFA ,Arménie,85500,209-02,Développement - Coopération bilatérale,2011
AN,ROSSO-DEBORD     (N),Association CCFD Terre Solidaire    ,,2000,209-02,Développement - Coopération bilatérale,2011
AN,SAPIN                      (N)             ,Association Réflexe et Partage,,1000,209-05,Développement - Coopération multilatérale,2011
AN,SCHNEIDER              (N),Melting Pot development,Cameroun,7000,209-02,Développement - Coopération bilatérale,2011
AN,SORDI                      (N),"Kraing Speu - L'eau, un enjeu vital",Cambodge,3000,209-02,Développement - Coopération bilatérale,2011
AN,SUDARSKIS             (N),INTA,,10000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2011
AN,TABAROT,Amphore International,Quatre pays,1000,209-02,Développement - Coopération bilatérale,2011
AN,TABAROT,Association Action Enfance Cambodge ,Cambodge,1000,209-02,Développement - Coopération bilatérale,2011
AN,TABAROT,Terre d'Azur,,1000,209-02,Développement - Coopération bilatérale,2011
AN,TERROT,CAPDA,,12000,209-02,Développement - Coopération bilatérale,2011
AN,TERROT,Amis Luala,RD Congo,3000,209-02,Développement - Coopération bilatérale,2011
S,TEULADE               (N),L'école de la vie de Madagascar   ENFANTS DES RUES,Madagascar,1000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,TIBERI                    (N),Association les œuvres hospitalières françaises de l'ordre de Malte,,3000,209-02,Développement - Coopération bilatérale,2011
AN,TIBERI                    (N),Comité Tiers-Monde Sourd,,3000,209-02,Développement - Coopération bilatérale,2011
AN,VAMPA,Association Mouvement Rural de la Jeunesse Chrétienne (MRJC),,1000,209-02,Développement - Coopération bilatérale,2011
AN,VAMPA,Association Normande du Geste pour l'Education (l'ANGE),,2000,209-02,Développement - Coopération bilatérale,2011
AN,VANNSON              (N),Délégation départementale des Vosges de l'association AGIRabcd,,1500,209-02,Développement - Coopération bilatérale,2011
AN,VANNSON              (N),Les Amis de Yorola Solidarité entre la France et le Mali,Mali,5000,209-02,Développement - Coopération bilatérale,2011
AN,VERCHERE             (N),Compagnons du Burkina,Burkina Faso,5000,209-02,Développement - Coopération bilatérale,2011
S,VIAL                       (N),Institut français du Proche-Orient (IFPO),,10000,209-02,Développement - Coopération bilatérale,2011
S,VIAL                       (N),Mission archéologique Ras Shamra Ougarit,,5000,209-02,Développement - Coopération bilatérale,2011
S,VIAL                       (N),Société d'études syriaques,,5000,209-02,Développement - Coopération bilatérale,2011
AN,WARSMANN,Burkin'Ardenn'Avenir,Burkina Faso,1200,209-02,Développement - Coopération bilatérale,2011
AN,WARSMANN,Les Enfants d'Allada  ,,1000,209-02,Développement - Coopération bilatérale,2011
S,YUNG,Alliance française du Brésil ,Brésil,5000,185-02,Coopération culturelle et promotion du français,2011
S,YUNG,Ecole Anne de Kiev   ,Ukraine,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,YUNG,Ecole française de Karikal       ,Inde,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2011
S,YUNG,Clinique de Gamkalley à Niamey (NIGER) -           ,Niger,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,YUNG,Acid Survivors Foundation - Islamabad    ,Pakistan,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,YUNG,"Association ""Enfants français de Madagascar""  ",Madagascar,15000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,YUNG,Centre de formation Sabatisso de Bamako    ,Mali,12000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
S,YUNG,Lycée Jean Giono de Turin    ,Italie,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2011
AN,ACCOYER,Lycée franco-japonais de takinogawa,Japon,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
AN,ACCOYER,Echanges Sahel,,10000,209-02,Développement - Coopération bilatérale,2012
AN,AESCHLIMANN,Rotary Club d'Asnières,,1000,209-02,Développement - Coopération bilatérale,2012
AN,AUBERT,AGIR ABCD pour la Mauritanie,,10000,209-02,Développement - Coopération bilatérale,2012
AN,AURILLAC,Les Amis de bassiata,,4000,209-02,Développement - Coopération bilatérale,2012
AN,AURILLAC,Les mains ouvertes,,25000,209-02,Développement - Coopération bilatérale,2012
AN,BAGUET,Les Amis d'Egypte,,5000,209-02,Développement - Coopération bilatérale,2012
S,BAYLET,L'association San Filippo Sud,,3000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,BEL,Citées Unies,,20000,185-02,Coopération culturelle et promotion du français,2012
S,BEL,Institut Français du Proche Orient,,20000,185-02,Coopération culturelle et promotion du français,2012
S,BEL,Action contre la faim,,50000,209-02,Développement - Coopération bilatérale,2012
S,BEL,Bibliothèque sans frontière,,50000,209-02,Développement - Coopération bilatérale,2012
S,BEL,Care France,,50000,209-02,Développement - Coopération bilatérale,2012
S,BEL,Forum mondial de la langue française,canada,20000,209-02,Développement - Coopération bilatérale,2012
AN,BESSE,Association Solidarité vendée-Sénégal,,5000,209-02,Développement - Coopération bilatérale,2012
AN,BIGNON,Les experts du désert,,1000,209-02,Développement - Coopération bilatérale,2012
S,BILLOUT,Initiatives France/Hongrie,,15000,185-02,Coopération culturelle et promotion du français,2012
AN,BLUM,Horizon Arménie,,2000,209-02,Développement - Coopération bilatérale,2012
AN,BODIN,Chirurgie solidaire CS,,5000,209-08,Développement - Support,2012
S,BOTREL,Tregor solidarité Niger,,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,BRANGET,4L Trophy,,1000,209-02,Développement - Coopération bilatérale,2012
AN,BRARD,Association française d'appui au développement de la Région du Kayes (AFAK),,91000,209-02,Développement - Coopération bilatérale,2012
AN,BRUNEL,ARCADES,,3000,209-02,Développement - Coopération bilatérale,2012
AN,CAHUZAC,ATEFAT Haïti,,1000,209-05,Développement - Coopération multilatérale,2012
S,CANTEGRIT,Ecole Jules Verne à Helsinki,Finlande,7000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Lycée français St-Louis de Stockholm,Suède,7000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Lycée Maurice Delafosse Abidjan,Cote d'Ivoire,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Ecole française de Natal Rio de Janeiro,Brésil,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Associationdes Ecoles à programme bilingues - FIPA Miami,Etats-Unis,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Nouvelle école française à Cascais,Portugal,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CANTEGRIT,Sté bienfaisance du 14 juillet Sao Paulo,Brésil,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,Fondation d'Entraide des Français en Argentine,Argentine,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,"Association Française de Solidarité de Munich, ASAIPA/BAYERNE",Allemagne,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,Association d'Entraide Médicale des Français du Cameroun - AEMFC,Cameroun,5000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,Club franco-allemand Région Nuremberg,Allemagne,3000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,Union des français de Franconie,Allemagne,3000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,CANTEGRIT,Alliance Française de Vancouver,canada,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,CARAYON,Association Les Enfants de Tanamaza,,1000,209-02,Développement - Coopération bilatérale,2012
AN,CARREZ,Diverses associations,,2500,209-02,Développement - Coopération bilatérale,2012
AN,CHEVENEMENT,Fondation res Publica,,40000,185-04,Diplomatie culturelle et d'influence - Attractivité et recherche,2012
S,CHEVENEMENT,Association France-Algérie,,10000,185-02,Coopération culturelle et promotion du français,2012
AN,CHRIST,Comité Catholique Contre la Faim et pour le Développement,,3000,209-02,Développement - Coopération bilatérale,2012
AN,CINIERI,Guadeloupe42,,1000,209-02,Développement - Coopération bilatérale,2012
AN,CINIERI,Rotary club de Firminy,,1000,209-02,Développement - Coopération bilatérale,2012
S,COINTAT,Alliance française de San José,Costa-Rica,20000,185-02,Coopération culturelle et promotion du français,2012
S,COINTAT,Alliance française de Vanuatu,Vanuatu,10000,185-02,Coopération culturelle et promotion du français,2012
S,COINTAT,Lycée Tamatave,Madagascar,35000,185-02,Coopération culturelle et promotion du français,2012
S,COINTAT,Association française de bienfaisance du Vanuatu,Vanuatu,14000,185-02,Coopération culturelle et promotion du français,2012
S,COINTAT,Association cimetières de Fez,Maroc,21000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,COLOT,Solidarité Roumanie,,5000,209-02,Développement - Coopération bilatérale,2012
S,CONWAY-MOURET,Alliance française de San José,Costa-Rica,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Lycée française d'Irlande,Irlande ,20000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Lycée Français de Djibouti,Djibouti,12440,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Institut de Recherche et d'études Méditérranée Moyen-Orient (IRRéMo),,16000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,"EFBA Education Française de la"" Bay Area""",San Francisco,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Fondation Voie Lactée :Bouquinerie Aux trois Dumas,Haiti,15905,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Bénévoles sans frontières,Maroc,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,CONWAY-MOURET,Diverses associations,,25655,185-05,Diplomatie culturelle et d'influence - AEFE,2012
AN,COPE,Moldavenir,Moldavie,8000,209-02,Développement - Coopération bilatérale,2012
AN,COURTIAL,Rotary club de Clermont de l'Oise,,2000,209-02,Développement - Coopération bilatérale,2012
AN,COUSIN,L'Abeille de la Solidarité,,2000,209-02,Développement - Coopération bilatérale,2012
AN,COUSIN,Les Amis de la reine de Miséricorde,,7000,209-02,Développement - Coopération bilatérale,2012
AN,CROZON,Le triangle humanitaire,,10000,209-05,Développement - Coopération multilatérale,2012
AN,CROZON,Solidarité contre le Sida eb Centrafrique,,2500,209-05,Développement - Coopération multilatérale,2012
AN,DAUBRESSE,Alpabet de l'Amour,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DAUBRESSE,Angata - Lambersart,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DAUBRESSE,FASO Sourire,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DAUBRESSE,Haïti 2010,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DAUBRESSE,Lueur d'orient,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DAUBRESSE,Solidarité Partage sans Frontière,,1000,209-02,Développement - Coopération bilatérale,2012
AN,D'ETTORE,Electriciens sans frontières,,3000,209-02,Développement - Coopération bilatérale,2012
AN,DE RUGY,Association Pédiatres du monde,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DE RUGY,Association Senankunya,,3000,209-02,Développement - Coopération bilatérale,2012
AN,DE LA VERPILLIERE,Eau Soleil,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DEGAUCHY,4L Trophy,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DEGAUCHY,E.F.N.E.S - échange franco-nigérien,Nigéria,1000,209-02,Développement - Coopération bilatérale,2012
S,DEL PICCHIA,Lycée français de Vienne,Autriche,30000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DEL PICCHIA,Ecole francophone internationale de Varna,Bulgarie,30000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DEL PICCHIA,Ecole française Paul-Gaugin,Panama,15000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DEL PICCHIA,"Association ""Parlons français Dallas/Fort Worth""",Etats-Unis,8000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DEL PICCHIA,Alliance française d'Andorre,Andorre,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DEL PICCHIA,"association ""Athena e. V, gérant ""emploi-Allemagne""",Allemagne,13000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEL PICCHIA,Maison de retraite d'Antsirabé,Madagascar,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEL PICCHIA,Ecole française Henri Matisse à Moroni,Les Comores,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEL PICCHIA,"Communauté française du Maroc""",Maroc,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEL PICCHIA,"association de bienfaisance de tel-Aviv et sa région, ABTAR",Israël,10000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEMONTES,Actions solidaires de développement,,6000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
S,DEMONTES,CIMADE,,20000,151-01,Offre d'un service public de qualité aux Français à l'étranger,2012
AN,DESCOEUR,Association Cantal au Cœur de l'Afrique,,1500,209-02,Développement - Coopération bilatérale,2012
AN,DIARD,Amis provençaux de la langue française,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DIARD,Angels Lives,,1500,209-02,Développement - Coopération bilatérale,2012
AN,DIARD,terre des enfants de Madagascar,,1500,209-02,Développement - Coopération bilatérale,2012
AN,DIONIS du SEJOUR,Burkina TH,,2500,209-02,Développement - Coopération bilatérale,2012
S,DULAIT,Musée Afrasyab de Samarcande,Ouzbékistan,5000,185-02,Coopération culturelle et promotion du français,2012
AN,DUMOULIN,Association pour le Développement de Ourossogui,,1500,209-02,Développement - Coopération bilatérale,2012
AN,DUMOULIN,Mosaïque Solidaire,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DUMOULIN,Solid'Afrique,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DUPONT,CCFD,,1000,209-02,Développement - Coopération bilatérale,2012
AN,DURAND,Association Burkinasol,,1500,209-02,Développement - Coopération bilatérale,2012
S,DUVERNOIS,ADIFLOR,,95000,185-02,Coopération culturelle et promotion du français,2012
S,DUVERNOIS,Alliance français de Brisbane reconstruction bibliothèque,Australie,12000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DUVERNOIS,Institut Français du Royaume-Uni,Royaume-Uni,8000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DUVERNOIS,Ecole Jules Verne Helsinki,Finlande,5000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DUVERNOIS,Renforcement du partenariat avec les collèges d'excellence,Chili,8000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,DUVERNOIS,Association FLAM Qingdao,Chine,2000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
AN,ERHEL,Association Solidarité Goëlo-Burkina,,1500,209-05,Développement - Coopération multilatérale,2012
S,FERRAND A,Association franco-allemende de Ratisbone,Allemagne,3000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Alliance Française,Costa-Rica,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Lycée Français de Tamatave ,Madagascar,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Lycée Denis Diderot de Nairobi,Kenya,15000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Alliance française de Canberra,Australie,12000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Alliance française de Calgary,Canada,4300,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Lycée français de Stockholm,Suède,10000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
S,FERRAND A,Lycée français de Hambourg,Allemagne,7000,185-05,Diplomatie culturelle et d'influence - AEFE,2012
